Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,V TAT,C TAT,Cancelled Rides by Customer,Cancelled Rides by Driver,Incomplete Rides,Incomplete Rides Reason,Booking Value,Payment Method,Ride Distance,Driver Ratings,Customer Rating
06-02-2024,17:37,CNR6881813585,Success,CUST58418,Prime Plus,Location 25,Location 16,1.5,9.4,NAN,NAN,NAN,NAN,102.25,Wallet,2.8,3.6,3.5
28-02-2024,00:51,CNR3660260403,Success,CUST38562,eBike,Location 44,Location 15,1.3,10.9,NAN,NAN,NAN,NAN,457.17,UPI,20,4.1,4.1
24-02-2024,19:18,CNR8754073161,Success,CUST73021,Prime Plus,Location 9,Location 14,9.2,1.5,NAN,NAN,NAN,NAN,478.56,UPI,17.2,4.6,3.2
26-02-2024,12:22,CNR1822195080,Cancelled by Customer,CUST83003,Auto,Location 33,Location 30,NAN,NAN,Change of plans,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
11-02-2024,18:26,CNR1196880104,Success,CUST57681,Prime Plus,Location 24,Location 29,1.6,8.2,NAN,NAN,NAN,NAN,268.53,Cash,2.2,3.5,3.7
21-02-2024,00:28,CNR5070136799,Cancelled by Driver,CUST10191,Mini,Location 17,Location 50,NAN,NAN,NAN,More than permitted people in there,NAN,NAN,NAN,NAN,NAN,NAN,NAN
13-02-2024,14:50,CNR6774723944,Success,CUST64032,Prime SUV,Location 46,Location 27,6.4,14.4,NAN,NAN,NAN,NAN,288.52,Card,9,4.3,4.6
13-02-2024,10:38,CNR8378709508,Cancelled by Driver,CUST80235,Prime Sedan,Location 24,Location 23,NAN,NAN,NAN,Personal & Car related issues,NAN,NAN,NAN,NAN,NAN,NAN,NAN
10-02-2024,05:14,CNR1519206703,Cancelled by Driver,CUST98055,Prime Plus,Location 28,Location 26,NAN,NAN,NAN,Personal & Car related issues,NAN,NAN,NAN,NAN,NAN,NAN,NAN
02-02-2024,07:15,CNR8845436049,Success,CUST11826,eBike,Location 26,Location 27,7.9,12.6,NAN,NAN,NAN,NAN,262.08,UPI,1.6,3.5,3.6
09-02-2024,20:48,CNR1163096740,Success,CUST94036,Prime SUV,Location 19,Location 16,7,14.3,NAN,NAN,NAN,NAN,252.75,Cash,16.7,4.6,4.9
11-02-2024,10:26,CNR6933085686,Success,CUST86671,Prime Sedan,Location 11,Location 37,3.2,11.8,NAN,NAN,NAN,NAN,186.62,Wallet,19.6,3.7,4.3
23-02-2024,05:37,CNR8123406822,Cancelled by Driver,CUST77342,Prime Sedan,Location 20,Location 43,NAN,NAN,NAN,Personal & Car related issues,NAN,NAN,NAN,NAN,NAN,NAN,NAN
18-02-2024,06:43,CNR2740095337,Success,CUST95229,Prime SUV,Location 44,Location 33,3.1,4,NAN,NAN,NAN,NAN,328.51,Cash,3,3.7,4.4
03-02-2024,07:54,CNR4125367498,Cancelled by Driver,CUST70557,Prime Sedan,Location 36,Location 4,NAN,NAN,NAN,Customer related issue,NAN,NAN,NAN,NAN,NAN,NAN,NAN
26-02-2024,17:20,CNR9751629387,Success,CUST48192,Prime Plus,Location 9,Location 6,8,3.4,NAN,NAN,NAN,NAN,433.41,Card,3.6,4.5,3.7
20-02-2024,21:21,CNR6584874429,Success,CUST35869,Auto,Location 22,Location 10,2.5,4.2,NAN,NAN,NAN,NAN,2960.41,Cash,17.1,4.5,4.7
20-02-2024,18:48,CNR4651300660,Cancelled by Driver,CUST21883,Mini,Location 16,Location 39,NAN,NAN,NAN,Personal & Car related issues,NAN,NAN,NAN,NAN,NAN,NAN,NAN
26-02-2024,12:16,CNR8986131296,Success,CUST57959,Prime Plus,Location 11,Location 49,8.6,4.6,NAN,NAN,NAN,NAN,395.02,UPI,14.2,4.4,3.2
03-02-2024,13:41,CNR5207518963,Success,CUST96364,Prime Plus,Location 3,Location 28,9.2,1.5,NAN,NAN,NAN,NAN,278.81,Cash,2.4,4.5,4.8
09-02-2024,03:10,CNR3530297874,Success,CUST95956,Prime Sedan,Location 11,Location 7,1.5,7.5,NAN,NAN,NAN,NAN,1295.7,UPI,10.5,4.8,3.5
16-02-2024,02:43,CNR9411432782,Success,CUST45805,Bike,Location 19,Location 50,8,8.1,NAN,NAN,NAN,NAN,145.47,Wallet,20.1,4.1,3.1
08-02-2024,03:14,CNR1486133390,Success,CUST94489,Bike,Location 5,Location 15,6,2.5,NAN,NAN,NAN,NAN,469.19,Cash,19.6,3.3,4.3
04-02-2024,22:00,CNR7172938376,Success,CUST81080,Prime Plus,Location 47,Location 40,7,7.2,NAN,NAN,NAN,NAN,246.81,Card,5.8,3.4,3.5
24-02-2024,06:01,CNR3614940234,Success,CUST26789,eBike,Location 39,Location 34,1.4,7.1,NAN,NAN,NAN,NAN,82.74,Cash,10,3.7,4.2
06-02-2024,11:12,CNR8150789476,Success,CUST33970,Prime Sedan,Location 10,Location 31,5.4,14.2,NAN,NAN,NAN,NAN,329.56,Card,5.8,4.6,4.7
03-02-2024,05:46,CNR8616234243,Success,CUST66758,Mini,Location 20,Location 36,8.8,13.4,NAN,NAN,NAN,NAN,275.73,Wallet,18.5,4.3,3.4
13-02-2024,12:33,CNR7202424915,Incomplete,CUST28004,eBike,Location 13,Location 43,NAN,NAN,NAN,NAN,Yes,Vehicle Breakdown,NAN,NAN,NAN,NAN,NAN
